feature,importance
age_at_death,21.561525223924427
log_page_len_bytes,16.89817491824532
death_year,14.164453724568986
age_x_fame,8.679923340321006
fame_proxy,8.168266281322987
views_per_sitelink,7.705209997139057
log_sitelinks,6.13487416154693
log_page_watchers,4.818338835914529
log_avg_views_pre_death_10d,3.232666408456669
age_x_year,2.8455650552946365
occ_association_football_player,1.7937005250215137
occ_television_actor,1.185201435060264
occ_screenwriter,0.7005035105553777
log_num_editors,0.6978011503839139
occ_writer,0.5267470020144782
occ_film_director,0.4498916154943718
log_award_count,0.436128923716903
log_edits_past_year,0.0010278910186411942
occ_American_football_player,0.0
young_death,0.0
occ_musician,0.0
occ_politician,0.0
occ_lawyer,0.0
occ_composer,0.0
occ_film_actor,0.0
occ_journalist,0.0
occ_university_teacher,0.0
occ_actor,0.0
occ_singer,0.0
